Gene_ID	pol.CT_1	pol.CT_2	pol.CT_3	pol.CT_4	pol.LTMH_1	pol.LTMH_2	pol.LTMH_3	pol.LTMH_4
Solyc03g006700.3	1.95794428587701	0	1.13664259087102	1.03640255619063	2.11794653901589	2.04360739194076	3.77279344953813	4.24620879452655
Solyc03g006760.3	0.972099512732253	2.96857153055033	1.7644205001253	2.37973929773587	3.22525820427322	4.22462609591913	3.96510215385853	4.0857553624405
Solyc03g006770.3	2.27702459240898	1.97310344742273	3.03423776552297	2.37973929773587	3.92583005198717	3.86115359894947	4.42389138680782	3.99829919496237
Solyc03g006880.3	6.55894491027399	6.11428541664046	5.74798485898099	4.46088239446447	1.41704414490112	2.63333478601321	2.29220172655224	3.45778238261672
Solyc03g006900.2	3.75510261809764	4.1359726353905	2.80600179676547	3.65101424025012	4.65652414772893	5.01022089957771	4.66463586069809	4.75314047444029
Solyc03g006910.3	4.94544349758051	4.77268063095798	4.83641970317175	4.39032565390322	4.00300892276116	3.86115359894947	3.13685757464899	3.32029536056294
Solyc03g007060.3	2.95081424712993	3.13799210577943	2.20039844934022	3.52494968500136	6.11864027488026	3.96096005705012	3.13685757464899	4.85622933056424
Solyc03g007890.3	7.39518824823348	7.44804459816686	6.79804083260738	6.59470844496438	8.42386198786489	8.67242028566289	8.31600757320351	8.23659648722199
Solyc03g020030.3	3.64850223239228	4.55050482506981	3.55927004592052	2.05426508421152	5.74461635967111	4.96285412714604	3.42560378008731	5.9051065886706
Solyc03g025640.2	8.46736690122715	9.22382801928414	8.96132040132059	8.98764329267879	11.563222556254	10.3909665063059	11.4705529402168	9.66884421324294
Solyc03g025650.2	0.972099512732253	0.982124795340574	1.7644205001253	0	3.34866877955461	2.04360739194076	3.13685757464899	2.58345077306825
Solyc03g026090.3	6.2842080832695	6.62259743327264	5.61316331156691	5.5939453785808	8.32211860082581	8.55355304399924	8.34223703543964	7.90508389641045
Solyc03g026130.3	2.7591899061098	3.77397983605569	3.82635149253139	4.82419629520875	4.91798640988915	5.10052971584448	5.17321834087253	5.20768816641992
Solyc03g031770.3	3.85436539361865	3.28959153123017	2.53474645557385	2.05426508421152	6.15291126236225	6.71550500243172	5.91755022907444	6.97548006803695
Solyc03g032220.3	5.61720048594947	5.69263292453253	5.71544215554065	5.42774925214959	4.39537405565891	4.91387925528147	4.48794722621991	4.32020459889825
Solyc03g033410.3	1.5476406441332	2.55504625256331	1.13664259087102	1.63329794861617	4.33695106074804	3.51212201100175	2.9674551238935	3.16831243560132
Solyc03g033550.3	2.53815734489601	1.97310344742273	1.13664259087102	4.52814876680307	4.70352571031026	4.5789492946721	5.3212175349666	4.0857553624405
Solyc03g033910.1	4.33870011216634	3.87334234984459	3.69898245370211	2.86920818755249	2.37182250742997	2.04360739194076	2.29220172655224	2.58345077306825
Solyc03g034057.1	4.33870011216634	4.77268063095798	4.49674199152222	4.59241803394818	3.22525820427322	3.05074884342316	3.42560378008731	3.99829919496237
Solyc03g034150.2	1.95794428587701	0.982124795340574	1.7644205001253	2.37973929773587	4.33695106074804	4.5147066850918	6.05076307214078	6.89301875536409
Solyc03g034206.1	2.27702459240898	2.77657474155062	3.40456260442132	3.23401897348107	4.74904419899107	4.5147066850918	4.21265779466218	4.24620879452655
Solyc03g043715.1	3.94723596988129	3.6672644060423	2.20039844934022	3.52494968500136	4.91798640988915	4.37694490221022	4.05242646552453	4.45769987130461
Solyc03g044625.1	5.23052375477583	5.2868638140014	4.83641970317175	4.87675666581394	6.15291126236225	6.186327758835	6.48671745336782	7.18802272974047
Solyc03g044850.1	4.46970712109152	5.13496183914276	5.11116701657018	4.06751832363573	5.74461635967111	6.34253009722635	5.60735612916345	6.0856752747658
Solyc03g046440.2	6.88663043007541	6.2682671078524	6.61608843560929	6.42860545825504	5.65180256773268	4.91387925528147	4.82202712229666	3.6987650945271
Solyc03g053110.3	10.4234693013648	10.5695282312152	10.4996624043386	10.1881899167558	9.10692839031853	9.60660130985941	9.1501621455742	9.52566520259204
Solyc03g053130.3	8.02600987364269	10.8118854532845	9.59424019034047	7.90449147337836	11.8877605807943	11.6862827459299	11.1673324755846	12.0531295798612
Solyc03g058370.2	5.23052375477583	4.9651632259676	4.41803393467556	3.38680549275882	5.50032485802387	6.16555745073664	4.82202712229666	6.45763798472352
Solyc03g058910.3	6.7515167174063	6.28640869263541	5.50307641606736	6.28041428093744	11.9777425904704	7.29588424299928	6.33823939654368	10.0696497863705
Solyc03g059020.2	0.972099512732253	2.55504625256331	0	1.63329794861617	4.00300892276116	5.26577495519354	5.00828263780243	4.58322387723278
Solyc03g059200.2	0.972099512732253	2.29322048352808	0	2.05426508421152	5.57805087611914	5.86419699871898	6.00771116179416	6.338058151749
Solyc03g062790.3	11.960122771044	11.9448879512224	12.185464283487	12.1399992917486	10.3159006846304	10.3081069751071	10.5411427138107	10.389430677816
Solyc03g063030.3	8.14351659033334	7.92995531785066	7.50780904905589	7.53911833990066	6.44334943757428	6.74380495377081	6.54810091047051	6.37324704016169
Solyc03g063040.3	6.58807953285396	6.66481526748907	6.18826742792453	6.17941663506604	5.30080833944476	5.34180249058848	5.09310623530113	4.9524406072732
Solyc03g063710.1	1.95794428587701	1.97310344742273	2.20039844934022	2.05426508421152	3.09029494216438	3.05074884342316	3.55084940440049	3.32029536056294
Solyc03g063730.3	4.70066310712451	4.82326188297769	4.95266849580304	5.52974565147251	3.6659212014111	3.51212201100175	4.42389138680782	3.99829919496237
Solyc03g078360.1	3.94723596988129	3.87334234984459	3.82635149253139	2.86920818755249	2.37182250742997	2.85708571990713	2.29220172655224	1.58375324535046
Solyc03g078420.3	0	0	0	1.03640255619063	2.37182250742997	2.36839631090531	1.97214958240244	2.32047686676436
Solyc03g078500.3	1.5476406441332	1.97310344742273	1.13664259087102	1.03640255619063	4.33695106074804	3.96096005705012	3.42560378008731	3.58329951314294
Solyc03g078810.3	8.20593081501796	8.13407681111161	7.9113171211001	7.43780617348157	8.73225594308015	10.1372874885187	8.24826851478409	9.74973190176129
Solyc03g079980.2	8.04714555675208	8.41534051782889	8.76064078414389	9.09691406979507	7.87561399274188	6.74380495377081	7.78946007248089	6.16813595181076
Solyc03g080190.3	6.95532145656975	7.21219247726425	6.85890108293557	7.03713215577317	7.68969425997323	8.13979488087961	8.10753693296079	8.45762251266343
Solyc03g082363.1	5.92184059268868	6.21243206852752	7.72770952047622	7.64139552113062	5.95347032497363	5.48280042289304	4.96392422817937	6.40759803031678
Solyc03g082700.3	6.73858228249046	7.73897871586232	7.72770952047622	6.46339125608336	6.40120235554951	6.03423459546976	5.7707740303844	6.50600032619785
